protein,task_id
TBK1,e515412c-a137-4c14-8807-4a8953be1404
ERN1 (IRE1),e8491754-43ba-411c-9b4a-6ce6c22265b6
ERN2 (IRE2),167e12d4-1af1-4252-b5e7-2ceb146da553
UHMK1 (KIS),6d420500-be4d-4239-812a-87bc4a0e1c9e
MOS,04de344e-adf2-4f30-8583-e49f7a08d8ea
AAK1,c2361cf9-3acf-4254-aadf-d76a814fef5a
BMP2K (BIKE),0d1d8348-d6bf-43a0-ba48-d81b4bc85751
GAK,ed43ddb6-ee99-47df-ad3c-82ad52c84ed0
STK16 (MPSK1),c537e862-0bbf-47a6-87cb-ff0ccba232d0
NEK1,3d25b153-9ecd-4320-828e-1ef4776d96b3
NEK3,442cfc7b-c141-48f5-9f52-59bb2a700b8d
NEK5,c2c1ad1c-0276-42af-9641-a59502dc311c
NEK2,3077912e-e385-4937-b09e-c0fc5f6dc4d2
NEK4,631c3a21-87f7-4b44-bdbb-fd3dbe058a3f
NEK6,cdb77777-3230-49e9-adda-9a84cb31c10b
NEK7,d1b4b782-7611-40fe-9e53-bfcb3b9d6a1d
NEK8,f29d74d1-703d-4d30-a4f8-d780b4d8b29b
NEK9,44bca297-4b93-4a7c-b772-abb708a7c593
NEK10,1705b5dc-19a6-49bc-b0a2-30cafd7a315c
NEK11,63c26475-8ab5-431f-b63e-5d95b82748e9
SBK1 (SBK),8040f7c1-5e2b-4132-b0fa-974b02518190
SBK2 (SgK069),26a77dd8-52ba-4ebe-a6ba-e6cc51da7fce
SBK3 (SgK110),adc0d044-5622-4574-a2f4-7c7b9698c7d4
PINK1,5ecfdd7c-d304-45ad-bb59-9e313c82835b
PEAK1 (SgK269),1984ac4e-e9ef-46f3-b924-9e5249c0a131
PEAK3,f5e036c0-706f-4295-9209-7a0a28926749
PRAG1 (SgK223),daaf3711-6455-49b9-8d05-7f6a8939af6b
PDIK1L (CLIK1L),79a73642-b4ff-426f-a296-a4d4bb9f8203
STK35 (CLIK1),e9fd478f-374f-4dce-864e-758b5bb55d40
TEX14 (SgK307),005f8f0c-8ff2-4c5a-b5fb-799f397d70d0
NRBP1,2e7be509-9742-4cc9-9a44-f2eb02e34bed
NRBP2,9cbc2d60-294e-4acb-b3bc-5f7dc4ba1853
PAN3,5b89b0a7-0c1f-403b-992e-412884ccc8b3
EIF2AK1 (HRI),0f993ca3-cae8-4f9f-a5f7-b876b4103493
